bid px,bid size,bid size cumulative,bid sum,bid sum cumulative,exchange,time
12,17522.0,0.1186,10.9331,2078.1092,191628.6489,FTX,2020-11-17 22:05:16
13,17521.0,0.4572,11.3903,8010.6012,199639.2501,FTX,2020-11-17 22:05:16
14,17520.5,0.0073,11.3976,127.89965,199767.14975,FTX,2020-11-17 22:05:16
15,17520.0,0.2077,11.6053,3638.904,203406.05375,FTX,2020-11-17 22:05:16
16,17519.5,0.1186,11.7239,2077.8127,205483.86645,FTX,2020-11-17 22:05:16
17,17519.0,130.6601,300.2599,2289034.2919,5261737.1216,FTXUS,2020-11-17 22:05:16
18,17518.5,0.4447,12.1686,7790.47695,213274.3434,FTX,2020-11-17 22:05:16
19,17517.5,0.8,12.9686,14014.0,227288.3434,FTX,2020-11-17 22:05:16
0,17532.5,0.006,0.006,105.195,105.195,FTX,2020-11-17 22:05:20
1,17531.5,16.4348,16.4348,288126.6962,288126.6962,FTXUS,2020-11-17 22:05:20
2,17530.0,0.1309,0.1369,2294.677,2399.872,FTX,2020-11-17 22:05:20
3,17527.5,10.2806,10.4175,180193.2165,182593.0885,FTX,2020-11-17 22:05:20
4,17527.5,81.9414,98.3762,1436227.8885,1724354.5847,FTXUS,2020-11-17 22:05:20
5,17526.5,0.0285,10.446,499.50525,183092.59375,FTX,2020-11-17 22:05:20
6,17526.5,75.2622,173.6384,1319082.9483,3043437.533,FTXUS,2020-11-17 22:05:20
7,17526.0,0.0002,10.4462,3.5052,183096.09895,FTX,2020-11-17 22:05:20
8,17525.5,0.0925,10.5387,1621.10875,184717.2077,FTX,2020-11-17 22:05:20
9,17525.0,0.0057,10.5444,99.8925,184817.1002,FTX,2020-11-17 22:05:20
10,17524.0,0.1427,10.6871,2500.6748,187317.775,FTX,2020-11-17 22:05:20
11,17522.0,0.1186,10.8057,2078.1092,189395.8842,FTX,2020-11-17 22:05:20
12,17521.0,0.4572,11.2629,8010.6012,197406.4854,FTX,2020-11-17 22:05:20
