ask px,ask size,ask size cumulative,ask sum,ask sum cumulative,exchange,time
11,17572.5,0.125,23.8966,2196.5625,419550.03705,FTX,2020-11-17 22:04:25
12,17574.0,0.773,24.6696,13584.702,433134.73905,FTX,2020-11-17 22:04:25
13,17577.0,9.2512,33.9208,162608.3424,595743.08145,FTX,2020-11-17 22:04:25
14,17579.0,0.8796,17.7351,15462.4884,311655.76215,FTXUS,2020-11-17 22:04:25
15,17580.0,73.0925,90.8276,1284966.15,1596621.91215,FTXUS,2020-11-17 22:04:25
16,17581.5,0.9539,34.8747,16770.99285,612514.0743,FTX,2020-11-17 22:04:25
17,17583.0,0.0002,34.8749,3.5166,612517.5909,FTX,2020-11-17 22:04:25
18,17589.0,0.0001,34.875,1.7589,612519.3498,FTX,2020-11-17 22:04:25
19,17589.5,74.7938,165.6214,1315585.5451,2912207.45725,FTXUS,2020-11-17 22:04:25
0,17556.0,21.1319,21.1319,370991.6364,370991.6364,FTX,2020-11-17 22:04:26
1,17559.0,0.119,21.2509,2089.521,373081.1574,FTX,2020-11-17 22:04:26
2,17559.5,0.0297,21.2806,521.51715,373602.67455,FTX,2020-11-17 22:04:26
3,17560.0,0.089,21.3696,1562.84,375165.51455,FTX,2020-11-17 22:04:26
4,17561.0,0.8895,22.2591,15620.5095,390786.02405,FTX,2020-11-17 22:04:26
5,17561.5,0.1,22.3591,1756.15,392542.17405,FTX,2020-11-17 22:04:26
6,17563.0,0.526,22.8851,9238.138,401780.31205,FTX,2020-11-17 22:04:26
7,17566.0,0.637,23.5221,11189.542,412969.85405,FTX,2020-11-17 22:04:26
8,17567.0,0.1187,23.6408,2085.2029,415055.05695,FTX,2020-11-17 22:04:26
9,17570.5,0.9537,0.9537,16756.98585,16756.98585,FTXUS,2020-11-17 22:04:26
10,17572.0,0.1308,23.7716,2298.4176,417353.47455,FTX,2020-11-17 22:04:26
11,17572.5,0.125,23.8966,2196.5625,419550.03705,FTX,2020-11-17 22:04:26
12,17572.5,16.8555,17.8092,296193.27375,312950.2596,FTXUS,2020-11-17 22:04:26
13,17574.0,0.773,24.6696,13584.702,433134.73905,FTX,2020-11-17 22:04:26
14,17577.0,9.2512,33.9208,162608.3424,595743.08145,FTX,2020-11-17 22:04:26
15,17580.0,73.0925,90.9017,1284966.15,1597916.4096,FTXUS,2020-11-17 22:04:26
16,17581.5,0.9539,34.8747,16770.99285,612514.0743,FTX,2020-11-17 22:04:26
17,17583.0,0.0002,34.8749,3.5166,612517.5909,FTX,2020-11-17 22:04:26
18,17589.0,0.0001,34.875,1.7589,612519.3498,FTX,2020-11-17 22:04:26
19,17589.5,0.798,35.673,14036.421,626555.7708,FTX,2020-11-17 22:04:26
0,17556.0,0.019,0.019,333.564,333.564,FTX,2020-11-17 22:04:30
1,17557.5,0.4863,0.5053,8538.21225,8871.77625,FTX,2020-11-17 22:04:30
2,17558.0,0.0593,0.5646,1041.1894,9912.96565,FTX,2020-11-17 22:04:30
3,17559.0,0.1,0.6646,1755.9,11668.86565,FTX,2020-11-17 22:04:30
4,17559.5,0.0297,0.6943,521.51715,12190.3828,FTX,2020-11-17 22:04:30
5,17560.0,0.089,0.7833,1562.84,13753.2228,FTX,2020-11-17 22:04:30
6,17560.5,0.5039,1.2872,8848.73595,22601.95875,FTX,2020-11-17 22:04:30
7,17561.5,0.1,1.3872,1756.15,24358.10875,FTX,2020-11-17 22:04:30
8,17563.0,0.526,1.9132,9238.138,33596.24675,FTX,2020-11-17 22:04:30
9,17565.5,0.01,1.9232,175.655,33771.90175,FTX,2020-11-17 22:04:30
10,17566.0,0.627,2.5502,11013.882,44785.78375,FTX,2020-11-17 22:04:30
11,17567.0,0.8539,3.4041,15000.4613,59786.24505,FTX,2020-11-17 22:04:30
